review,O,C,E,A,N ,Helpfulness,Tiêu_cực,Trung_tính,Tích_cực
cửa_hàng_phục_vụ rất kémko có đạo_đức nghề_nghiệp,0.4624,0.641,0.4621,0.6941,0.3767,0.18,1.0,0.0,0.0
sản_phẩm giống hình áo_rộng dài còn quần ngắn không ưng_ý laems,0.4727,0.6596,0.4667,0.7286,0.3462,0.47,0.92,0.07,0.0
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn rất đáng tiền,0.6171,0.7492,0.7271,0.8234,0.322,0.57,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn giao hàng rất nhanh,0.5914,0.7336,0.6829,0.8499,0.2559,0.43,0.0,0.0,1.0
cửa_hàng tư_vấn rất tốt,0.4784,0.3783,0.6,0.5398,0.5144,0.14,0.01,0.03,0.96
mình không nghĩ hàng còn hơn 1 tháng hsd tiki giao khách_hàng đặc_biệt hàng dành trẻ_em làm_sao khách_hàng sử_dụng chai hết 1 tháng ?,0.5658,0.7575,0.656,0.7913,0.3768,0.23,0.13,0.8,0.07
dat hang mau nay gui mau nhắn_tin thi khong tlaă,0.3655,0.2867,0.4751,0.3095,0.704,0.27,0.85,0.14,0.01
chất_lượng sản_phẩm rất kém thời_gian giao hàng rất chậm dịch_vụ nhìn_chung rất kém,0.5386,0.7128,0.5925,0.805,0.2825,0.29,0.95,0.01,0.04
iphone 5 thuong 4 chan con iphone 5s chi co 3 chan thoi hoi chua,0.4377,0.5602,0.4481,0.5809,0.4848,0.28,0.0,0.0,1.0
sản_phẩm bị sử_dụng rồi giao,0.3589,0.3005,0.4727,0.311,0.7338,0.27,0.98,0.02,0.0
đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt giá_thành cũng rẻ chất_lượng chưa dùng nên chưa biết,0.6195,0.7701,0.7272,0.8857,0.2353,0.48,0.02,0.01,0.97
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn giao hàng nhanh chớp đặt size to quá nên nhờ cửa_hàng gửi được trợ_giúp nhận được hàng rất hài_lòng thank cửa_hàng,0.5699,0.8207,0.6379,0.7969,0.3973,0.55,0.0,0.0,1.0
chất_lượng sản_phẩm rất kém lúc mới mua về cắm adapter rất lâu router mới lên nguồn sử_dụng được đúng 2 ngày cổng wan chết gọi số bảo_hành số không gọi được rất không đáng tiền,0.6147,0.7896,0.6923,0.8779,0.2441,0.69,0.99,0.0,0.0
đóng_gói sản_phẩm rất đẹp chắc_chắn god,0.4621,0.4844,0.5255,0.5646,0.4897,0.34,0.0,0.01,0.99
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn thời_gian giao hàng rất nhanh cửa_hàng_phục_vụ rất tốt,0.6452,0.7633,0.7815,0.872,0.2775,0.4,0.0,0.0,1.0
mình mua bình cách đây hơn 1 năm thấy sản_phẩm đang giảm 45 nên vào góp_ý bạn định mua phải nói bình quá tệ hôi nữa chưa kể cần bình va_chạm nhẹ bị móp nhìn rất xấu nhất nắp móp vô_độ hở phát móp mình xài được 1 thời_gian bên bình có cục sỏi vậy rửa bình rất sạch không đụng lúc_lắc nghe tiếng kêu bên rất ức_chế chả biết bình nó chứa không biết nó độc_hại hay không bây_giờ mình đã vứt em nó 1 xó không xài được nửa năm rùi công_nhận hàng tàu rẻ có khác siêu cùi giảm 80 mình cũng không thèm mua,0.5232,0.8102,0.5649,0.7105,0.5007,0.74,0.99,0.0,0.01
đóng_gói sp tốt giao hàng nhanh chất_lượng chưa dùng lâu lịch thấy không chạy rồi,0.4555,0.6053,0.4649,0.7376,0.3039,0.4,0.15,0.59,0.26
mình mua hàng nhiều lần tiki từ sách tới sản_phẩm kỹ_thuật_số đây lần đầu_tiên mình muốn gửi đánh_giá mình sản_phẩm mình lướt facebook thấy một friend mình viết tút khá dài kèm một bức ảnh đang cầm quyển sinh trắc vân tay cũng chưa biết bạn ấy đọc hết chưa cầm quyển bí kiếp võ_công thượng thừa vậy bạn cũng khá đam_mê có tiếng lĩnh_vực mình thấy cũng tò_mò muốn thử xem thế_nào nên lên tiki order nhận được sách thao_lược vài chục trang mình thấy sách dịch rất cùi cùi dã_man cùi luôn đọc chả suôn cả cà khựng cà khựng ý_tứ lủng_củng đôi chỗ phải vận não ra suy_nghĩ xem viết giống cảm_tưởng đọc mấy trang bói tử_vi rẻ_tiền trên mạng_vậy dù mình chẳng phải fan tử_vi tướng_số cả không rõ do dịch kém hay do ông tác_giả viết loạn xà ngầu mình nhớ 1 cụm từ thề suốt đời chắc mình không hiểu được ý_nghĩa luôn hoạt_động tinh hoạt_động tinh nằm vài chục trang đầu sách ấy bạn có hiểu hoạt_động tinh không ? tinh tờ rùng hay tinh tờ hần ? éo_le cụm từ đi liền trẻ_em hoạt_động tinh trẻ đọc rất buồn_cười mình chưa đọc xong bấy_nhiêu cũng làm mình thấy mấy ông làm sách chả có tâm tí ? hay mình đang đọc bản lậu ?,0.5608,0.82,0.6254,0.783,0.4288,0.4,1.0,0.0,0.0
